game_id,game_date,event_index,player_id,team,shot_distance,shot_angle,shot_type,strength_state,is_powerplay,is_rebound,seconds_since_last_event,is_empty_net,score_differential,period,x_coord,y_coord,prior_event_type,prior_event_distance,is_goal
2025020990,2026-03-07,128,8481656,WSH,10.2,11.31,tip-in,5v5,0,1,0,0,0,2,79,2,shot-on-goal,11.4,1
2025020990,2026-03-07,130,8481219,BOS,32.2,64.23,snap,5v5,0,0,0,0,0,2,75,29,faceoff,89.0,0
2025020990,2026-03-07,136,8478911,WSH,8.49,89.05,snap,4v5,0,0,0,0,0,2,95,6,faceoff,29.73,0
2025020990,2026-03-07,137,8477956,BOS,25.3,71.57,snap,5v4,1,1,0,0,0,2,81,24,shot-on-goal,8.49,0
2025020990,2026-03-07,142,8480796,WSH,19.42,55.49,snap,4v5,0,0,0,0,0,2,78,16,blocked-shot,19.85,0
2025020990,2026-03-07,143,8478042,BOS,36.77,22.38,snap,5v4,1,1,0,0,0,2,55,14,shot-on-goal,19.42,0
2025020990,2026-03-07,144,8483489,BOS,16.28,10.62,bat,5v4,1,1,0,0,0,2,73,3,shot-on-goal,36.77,0
2025020990,2026-03-07,148,8479999,BOS,28.44,79.88,snap,5v5,0,0,0,0,0,2,84,28,hit,43.86,0
2025020990,2026-03-07,150,8480355,BOS,22.63,45.0,wrist,5v5,0,0,0,0,0,2,73,16,giveaway,71.0,0
2025020990,2026-03-07,152,8479325,BOS,64.9,33.69,snap,5v5,0,0,0,0,0,2,35,-36,blocked-shot,23.35,0
2025020990,2026-03-07,159,8482634,BOS,29.73,19.65,snap,5v5,0,0,0,0,0,2,61,10,faceoff,29.73,0
2025020990,2026-03-07,160,8481656,WSH,36.67,64.13,snap,5v5,0,1,0,0,0,2,73,33,missed-shot,29.73,0
2025020990,2026-03-07,164,8479325,BOS,56.52,13.3,slap,5v4,1,0,0,0,0,2,34,-13,faceoff,29.73,0
2025020990,2026-03-07,168,8477956,BOS,47.2,36.38,slap,5v4,1,0,0,0,0,2,51,28,takeaway,25.5,0
2025020990,2026-03-07,172,8477507,BOS,57.8,30.11,slap,5v5,0,0,0,0,0,2,39,-29,giveaway,55.15,0
2025020990,2026-03-07,174,8482088,WSH,5.66,45.0,backhand,5v5,0,0,0,0,0,2,85,-4,giveaway,40.45,0
2025020990,2026-03-07,176,8479345,WSH,64.01,28.97,snap,5v5,0,0,0,0,0,2,33,-31,hit,37.34,0
2025020990,2026-03-07,177,8479345,WSH,52.33,26.08,slap,5v5,0,1,0,0,0,2,42,-23,shot-on-goal,64.01,0
2025020990,2026-03-07,182,8477496,BOS,38.47,27.9,snap,5v5,0,0,0,0,0,2,55,18,hit,96.18,0
2025020990,2026-03-07,188,8471214,WSH,31.95,20.14,snap,5v4,1,0,0,0,0,2,59,11,faceoff,29.73,0
2025020990,2026-03-07,189,8479345,WSH,57.71,27.9,slap,5v4,1,1,0,0,0,2,38,-27,missed-shot,31.95,0
2025020990,2026-03-07,192,8471214,WSH,41.62,35.22,slap,5v4,1,0,0,0,0,2,55,24,faceoff,29.73,0
